group,team,played,wins,draws,losses,goals_for,goals_against,goal_diff,points,group_rank,seed
I,Senegal,3,3,0,0,8,4,4,9,1,1
F,Japan,3,3,0,0,6,2,4,9,1,2
L,England,3,3,0,0,6,2,4,9,1,3
G,Iran,3,3,0,0,8,5,3,9,1,4
C,Morocco,3,3,0,0,6,3,3,9,1,5
J,Austria,3,2,1,0,7,4,3,7,1,6
E,Ecuador,3,2,1,0,6,4,2,7,1,7
H,Spain,3,2,1,0,6,4,2,7,1,8
A,Mexico,3,2,1,0,5,3,2,7,1,9
K,Uzbekistan,3,2,0,1,7,6,1,6,1,10
B,Canada,3,1,2,0,5,4,1,5,1,11
D,United States,3,1,2,0,4,3,1,5,1,12
H,Uruguay,3,2,1,0,6,4,2,7,2,13
I,France,3,2,0,1,7,5,2,6,2,14
K,Portugal,3,2,0,1,6,5,1,6,2,15
C,Brazil,3,2,0,1,5,4,1,6,2,16
L,Croatia,3,2,0,1,5,4,1,6,2,17
E,Germany,3,1,2,0,7,5,2,5,2,18
J,Argentina,3,1,2,0,6,5,1,5,2,19
B,Switzerland,3,1,2,0,5,4,1,5,2,20
A,Czech Republic,3,1,2,0,4,3,1,5,2,21
G,Belgium,3,1,1,1,6,4,2,4,2,22
F,Netherlands,3,1,1,1,5,5,0,4,2,23
D,Australia,3,0,3,0,4,4,0,3,2,24
K,Colombia,3,2,0,1,5,4,1,6,3,25
E,Ivory Coast,3,1,1,1,5,5,0,4,3,26
G,Egypt,3,1,1,1,5,5,0,4,3,27
J,Algeria,3,1,1,1,5,5,0,4,3,28
A,South Korea,3,1,1,1,4,4,0,4,3,29
B,Bosnia and Herzegovina,3,0,3,0,5,5,0,3,3,30
D,Turkey,3,0,3,0,4,4,0,3,3,31
I,Norway,3,1,0,2,6,7,-1,3,3,32
