round,match_no,home_team,away_team,predicted_90min_result,prob_home_win,prob_draw_90min,prob_away_win,pred_home_goals,pred_away_goals,pred_home_score,pred_away_score,winner
R32,1,Belgium,Iran,home_win,0.5355525376025264,0.35340874830979885,0.11103871408767373,1.9466796909087933,0.5495849911182727,2,1,Belgium
R32,2,Japan,Sweden,home_win,0.47117051287956263,0.30538102379813836,0.22344846332229884,1.8355253637831042,0.6402485238073472,2,1,Japan
R32,3,England,Paraguay,home_win,0.4076483533766708,0.34769348044247983,0.24465816618084907,1.6692854902951646,0.9754294177185039,2,1,England
R32,4,Turkey,Cape Verde,home_win,0.5178991313591037,0.2722605440813958,0.20984032455950052,2.171456242250393,0.6976251632354573,2,1,Turkey
R32,5,Argentina,Mexico,home_win,0.37565522225641657,0.317793010049582,0.30655176769400144,1.936418704876135,0.8103568838568836,2,1,Argentina
R32,6,Portugal,Ivory Coast,draw,0.3262894582326748,0.3801914044201764,0.2935191373471489,1.7045780361852343,1.6093990330847912,3,2,Portugal
R32,7,France,Norway,home_win,0.40248491151655713,0.3470475822748202,0.2504675062086227,1.9432239960475253,1.5748802474615164,3,2,France
R32,8,Morocco,Switzerland,home_win,0.39375649415830305,0.3786911359271598,0.22755236991453717,2.0428083010103477,0.7644911346823112,2,1,Morocco
R32,9,Ecuador,Czech Republic,draw,0.2771883433201372,0.3710762860310782,0.35173537064878485,1.438708659374681,1.2731922454480504,1,2,Czech Republic
R32,10,Spain,Uruguay,draw,0.4337422530392793,0.45664491772241084,0.10961282923831,2.1120058593367426,0.8660327643918978,2,1,Spain
R32,11,South Korea,Canada,away_win,0.2689341971151843,0.3567642143647615,0.37430158852005396,1.2853906244634306,1.1462710871401276,1,2,Canada
R32,12,Bosnia and Herzegovina,Senegal,away_win,0.16922626374188948,0.3802531162331567,0.450520620024954,0.9401576726650255,1.8241078628686989,1,2,Senegal
R32,13,Austria,Germany,away_win,0.08701769782293636,0.3075425896490566,0.6054397125280069,1.029643573746515,2.4419797582591705,1,2,Germany
R32,14,Brazil,Egypt,home_win,0.5493872326761534,0.29543252280790505,0.15518024451594062,1.9518623158317439,0.8101580437364492,2,1,Brazil
R32,15,United States,Croatia,away_win,0.2832272597017309,0.32929364590338217,0.3874790943948871,1.2750018375730445,1.185453386955322,1,2,Croatia
R32,16,Netherlands,Colombia,away_win,0.2744741877169727,0.3177101383340354,0.40781567394899226,1.254386858053654,1.3575107550401666,1,2,Colombia
R16,1,Belgium,Japan,home_win,0.3720632992094851,0.3329658971762399,0.29497080361427525,1.6272795946120764,0.7721473528957544,2,1,Belgium
R16,2,England,Turkey,draw,0.3554673237699322,0.3641285867167648,0.2804040895133028,2.0133001161205484,1.3662034658810975,2,1,England
R16,3,Argentina,Portugal,away_win,0.18557896454373898,0.2622548913247131,0.552166144131548,1.5913745333327374,2.122830178808118,2,3,Portugal
R16,4,France,Morocco,draw,0.31461675715005794,0.3690276771090959,0.3163555657408463,1.8219995690583926,1.9753389358176503,2,3,Morocco
R16,5,Czech Republic,Spain,away_win,0.123814857029939,0.2583409575508313,0.6178441854192293,0.8708232709556235,2.4797281524804746,1,2,Spain
R16,6,Canada,Senegal,draw,0.19617783104705605,0.42834567870605694,0.37547649024688723,0.8488547443841562,1.535498168039964,1,2,Senegal
R16,7,Germany,Brazil,away_win,0.2953446313469254,0.34678152498000064,0.3578738436730743,1.7004488514724583,1.9894471323883074,2,3,Brazil
R16,8,Croatia,Colombia,away_win,0.25787864211571615,0.30394817686942904,0.43817318101485475,1.619447852571691,1.4074777407233285,2,1,Croatia
QF,1,Belgium,England,away_win,0.20352426894874118,0.2817495496094824,0.5147261814417761,1.0964953061644245,2.2035699338787564,1,2,England
QF,2,Portugal,Morocco,draw,0.3436952716076748,0.38656068157879775,0.26974404681352737,1.8877718858512211,1.8366129057753942,3,2,Portugal
QF,3,Spain,Senegal,draw,0.3267551992388007,0.372314104908178,0.3009306958530211,1.8942722525296043,1.6560815044804988,3,2,Spain
QF,4,Brazil,Croatia,home_win,0.36414298921878446,0.33209471953810865,0.303762291243107,1.4162833673034916,1.2581598426656477,2,1,Brazil
SF,1,England,Portugal,away_win,0.22274407633576912,0.2728118941574443,0.504444029506787,1.6476358354121505,1.7526339775492246,2,3,Portugal
SF,2,Spain,Brazil,away_win,0.3121759639244012,0.29088208095206014,0.3969419551235389,1.8582827423121537,1.8683679645517866,2,3,Brazil
Final,1,Portugal,Brazil,away_win,0.28494779862036956,0.3143079834387786,0.4007442179408519,1.5257577893239658,2.070980279796455,2,3,Brazil
