country,players,total_market_value_eur
Algeria,26,256900000.0
Argentina,26,807500000.0
Australia,26,77450000.0
Austria,26,245200000.0
Belgium,26,547500000.0
Bosnia and Herzegovina,26,151600000.0
Brazil,54,1659800000.0
Canada,26,198650000.0
Cape Verde,26,54500000.0
Colombia,26,302350000.0
Croatia,26,387300000.0
Curaçao,26,25775000.0
Czech Republic,26,188175000.0
DR Congo,26,143900000.0
Ecuador,26,368700000.0
Egypt,26,116475000.0
England,26,1363200000.0
France,38,1608500000.0
Germany,26,947000000.0
Ghana,27,234600000.0
Haiti,26,55900000.0
Iran,26,32050000.0
Iraq,26,21200000.0
Ivory Coast,26,522100000.0
Japan,70,383675000.0
Jordan,26,20300000.0
Mexico,26,191850000.0
Morocco,82,508735000.0
Netherlands,26,754200000.0
New Zealand,26,34350000.0
Norway,26,589900000.0
Panama,26,34550000.0
Paraguay,38,151800000.0
Portugal,26,1005500000.0
Qatar,26,19925000.0
Saudi Arabia,26,40675000.0
Scotland,40,271950000.0
Senegal,26,478100000.0
South Africa,26,49250000.0
South Korea,26,139050000.0
Spain,26,1222800000.0
Sweden,26,406075000.0
Switzerland,26,332500000.0
Tunisia,26,69950000.0
Turkey,26,473700000.0
United States,26,385650000.0
Uruguay,26,359300000.0
Uzbekistan,26,85325000.0
