date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,result,goal_diff_home
2023-01-06,Iraq,Oman,0,0,Gulf Cup,Basra,Iraq,False,draw,0
2023-01-06,Yemen,Saudi Arabia,0,2,Gulf Cup,Basra,Iraq,True,away_win,-2
2023-01-07,Kuwait,Qatar,0,2,Gulf Cup,Basra,Iraq,True,away_win,-2
2023-01-09,Sweden,Finland,2,0,Friendly,Faro-Loulé,Portugal,True,home_win,2
2023-01-09,Iraq,Saudi Arabia,2,0,Gulf Cup,Basra,Iraq,False,home_win,2
2023-01-10,Qatar,Bahrain,1,2,Gulf Cup,Basra,Iraq,True,away_win,-1
2023-01-12,Sweden,Iceland,2,1,Friendly,Faro-Loulé,Portugal,True,home_win,1
2023-01-12,Iraq,Yemen,5,0,Gulf Cup,Basra,Iraq,False,home_win,5
2023-01-12,Saudi Arabia,Oman,1,2,Gulf Cup,Basra,Iraq,True,away_win,-1
2023-01-13,Qatar,United Arab Emirates,1,1,Gulf Cup,Basra,Iraq,True,draw,0
2023-01-16,Iraq,Qatar,2,1,Gulf Cup,Basra,Iraq,False,home_win,1
2023-01-19,Iraq,Oman,3,2,Gulf Cup,Basra,Iraq,False,home_win,1
2023-01-25,United States,Serbia,1,2,Friendly,Los Angeles,United States,False,away_win,-1
2023-01-28,United States,Colombia,0,0,Friendly,Carson,United States,False,draw,0
2023-03-12,Guatemala,Panama,1,1,Friendly,San Jose,United States,True,draw,0
2023-03-23,Argentina,Panama,2,0,Friendly,Buenos Aires,Argentina,False,home_win,2
2023-03-23,Iran,Russia,1,1,Friendly,Tehran,Iran,False,draw,0
2023-03-23,New Zealand,China,0,0,Friendly,Auckland,New Zealand,False,draw,0
2023-03-23,Ghana,Angola,1,0,African Cup of Nations qualification,Kumasi,Ghana,False,home_win,1
2023-03-23,Algeria,Niger,2,1,African Cup of Nations qualification,Algiers,Algeria,False,home_win,1
2023-03-23,Italy,England,1,2,UEFA Euro qualification,Napoli,Italy,False,away_win,-1
2023-03-23,Portugal,Liechtenstein,4,0,UEFA Euro qualification,Lisbon,Portugal,False,home_win,4
2023-03-23,Bosnia and Herzegovina,Iceland,3,0,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,False,home_win,3
2023-03-23,Suriname,Mexico,0,2,CONCACAF Nations League,Paramaribo,Suriname,False,away_win,-2
2023-03-24,Australia,Ecuador,3,1,Friendly,Sydney,Australia,False,home_win,2
2023-03-24,Japan,Uruguay,1,1,Friendly,Tokyo,Japan,False,draw,0
2023-03-24,South Korea,Colombia,2,2,Friendly,Ulsan,South Korea,False,draw,0
2023-03-24,Saudi Arabia,Venezuela,1,2,Friendly,Jeddah,Saudi Arabia,False,away_win,-1
2023-03-24,Uzbekistan,Bolivia,1,0,Friendly,Jeddah,Saudi Arabia,True,home_win,1
2023-03-24,Cape Verde,Eswatini,0,0,African Cup of Nations qualification,Praia,Cape Verde,False,draw,0
2023-03-24,Egypt,Malawi,2,0,African Cup of Nations qualification,Cairo,Egypt,False,home_win,2
2023-03-24,Ivory Coast,Comoros,3,1,African Cup of Nations qualification,Bouaké,Ivory Coast,False,home_win,2
2023-03-24,DR Congo,Mauritania,3,1,African Cup of Nations qualification,Douala,Cameroon,True,home_win,2
2023-03-24,Tunisia,Libya,3,0,African Cup of Nations qualification,Radès,Tunisia,False,home_win,3
2023-03-24,South Africa,Liberia,2,2,African Cup of Nations qualification,Johannesburg,South Africa,False,draw,0
2023-03-24,Senegal,Mozambique,5,1,African Cup of Nations qualification,Diamniadio,Senegal,False,home_win,4
2023-03-24,France,Netherlands,4,0,UEFA Euro qualification,Paris,France,False,home_win,4
2023-03-24,Czech Republic,Poland,3,1,UEFA Euro qualification,Prague,Czech Republic,False,home_win,2
2023-03-24,Austria,Azerbaijan,4,1,UEFA Euro qualification,Pasching,Austria,False,home_win,3
2023-03-24,Sweden,Belgium,0,3,UEFA Euro qualification,Stockholm,Sweden,False,away_win,-3
2023-03-24,Grenada,United States,1,7,CONCACAF Nations League,St. George's,Grenada,False,away_win,-6
2023-03-25,Germany,Peru,2,0,Friendly,Mainz,Germany,False,home_win,2
2023-03-25,Morocco,Brazil,2,1,Friendly,Tangier,Morocco,False,home_win,1
2023-03-25,Scotland,Cyprus,3,0,UEFA Euro qualification,Glasgow,Scotland,False,home_win,3
2023-03-25,Spain,Norway,3,0,UEFA Euro qualification,Málaga,Spain,False,home_win,3
2023-03-25,Croatia,Wales,1,1,UEFA Euro qualification,Split,Croatia,False,draw,0
2023-03-25,Armenia,Turkey,1,2,UEFA Euro qualification,Yerevan,Armenia,False,away_win,-1
2023-03-25,Belarus,Switzerland,0,5,UEFA Euro qualification,Novi Sad,Serbia,True,away_win,-5
2023-03-25,Curaçao,Canada,0,2,CONCACAF Nations League,Willemstad,Curaçao,False,away_win,-2
2023-03-25,Montserrat,Haiti,0,4,CONCACAF Nations League,Lookout,Montserrat,False,away_win,-4
2023-03-26,New Zealand,China,2,1,Friendly,Wellington,New Zealand,False,home_win,1
2023-03-26,Russia,Iraq,2,0,Friendly,Saint Petersburg,Russia,False,home_win,2
2023-03-26,England,Ukraine,2,0,UEFA Euro qualification,London,England,False,home_win,2
2023-03-26,Luxembourg,Portugal,0,6,UEFA Euro qualification,Luxembourg,Luxembourg,False,away_win,-6
2023-03-26,Slovakia,Bosnia and Herzegovina,2,0,UEFA Euro qualification,Bratislava,Slovakia,False,home_win,2
2023-03-26,Mexico,Jamaica,2,2,CONCACAF Nations League,Mexico City,Mexico,False,draw,0
2023-03-27,Chile,Paraguay,3,2,Friendly,Santiago,Chile,False,home_win,1
2023-03-27,Angola,Ghana,1,1,African Cup of Nations qualification,Luanda,Angola,False,draw,0
2023-03-27,Niger,Algeria,0,1,African Cup of Nations qualification,Radès,Tunisia,True,away_win,-1
2023-03-27,Republic of Ireland,France,0,1,UEFA Euro qualification,Dublin,Republic of Ireland,False,away_win,-1
2023-03-27,Netherlands,Gibraltar,3,0,UEFA Euro qualification,Rotterdam,Netherlands,False,home_win,3
2023-03-27,Moldova,Czech Republic,0,0,UEFA Euro qualification,Chișinău,Moldova,False,draw,0
2023-03-27,Austria,Estonia,2,1,UEFA Euro qualification,Pasching,Austria,False,home_win,1
2023-03-27,Sweden,Azerbaijan,5,0,UEFA Euro qualification,Stockholm,Sweden,False,home_win,5
2023-03-27,United States,El Salvador,1,0,CONCACAF Nations League,Orlando,United States,False,home_win,1
2023-03-28,Argentina,Curaçao,7,0,Friendly,Santiago del Estero,Argentina,False,home_win,7
2023-03-28,Australia,Ecuador,1,2,Friendly,Melbourne,Australia,False,away_win,-1
2023-03-28,Germany,Belgium,2,3,Friendly,Cologne,Germany,False,away_win,-1
2023-03-28,Iran,Kenya,2,1,Friendly,Tehran,Iran,False,home_win,1
2023-03-28,Japan,Colombia,1,2,Friendly,Osaka,Japan,False,away_win,-1
2023-03-28,Jordan,Philippines,4,0,Friendly,Al Wakrah,Qatar,True,home_win,4
2023-03-28,South Korea,Uruguay,1,2,Friendly,Seoul,South Korea,False,away_win,-1
2023-03-28,Morocco,Peru,0,0,Friendly,Madrid,Spain,True,draw,0
2023-03-28,Saudi Arabia,Bolivia,1,2,Friendly,Jeddah,Saudi Arabia,False,away_win,-1
2023-03-28,Uzbekistan,Venezuela,1,1,Friendly,Jeddah,Saudi Arabia,True,draw,0
2023-03-28,Eswatini,Cape Verde,0,1,African Cup of Nations qualification,Mbombela,South Africa,True,away_win,-1
2023-03-28,Malawi,Egypt,0,4,African Cup of Nations qualification,Lilongwe,Malawi,False,away_win,-4
2023-03-28,Comoros,Ivory Coast,0,2,African Cup of Nations qualification,Moroni,Comoros,False,away_win,-2
2023-03-28,Mauritania,DR Congo,1,1,African Cup of Nations qualification,Nouakchott,Mauritania,False,draw,0
2023-03-28,Libya,Tunisia,0,1,African Cup of Nations qualification,Benghazi,Libya,False,away_win,-1
2023-03-28,Liberia,South Africa,1,2,African Cup of Nations qualification,Monrovia,Liberia,False,away_win,-1
2023-03-28,Mozambique,Senegal,0,1,African Cup of Nations qualification,Maputo,Mozambique,False,away_win,-1
2023-03-28,Scotland,Spain,2,0,UEFA Euro qualification,Glasgow,Scotland,False,home_win,2
2023-03-28,Georgia,Norway,1,1,UEFA Euro qualification,Batumi,Georgia,False,draw,0
2023-03-28,Turkey,Croatia,0,2,UEFA Euro qualification,Bursa,Turkey,False,away_win,-2
2023-03-28,Switzerland,Israel,3,0,UEFA Euro qualification,Geneva,Switzerland,False,home_win,3
2023-03-28,Costa Rica,Panama,0,1,CONCACAF Nations League,San José,Costa Rica,False,away_win,-1
2023-03-28,Canada,Honduras,4,1,CONCACAF Nations League,Toronto,Canada,False,home_win,3
2023-03-28,Haiti,Bermuda,3,1,CONCACAF Nations League,San Cristóbal,Dominican Republic,True,home_win,2
2023-04-19,United States,Mexico,1,1,Friendly,Glendale,United States,False,draw,0
2023-06-07,Mexico,Guatemala,2,0,Friendly,Mazatlán,Mexico,False,home_win,2
2023-06-10,Mexico,Cameroon,2,2,Friendly,San Diego,United States,True,draw,0
2023-06-10,Panama,Nicaragua,3,2,Friendly,Penonomé,Panama,False,home_win,1
2023-06-11,Uzbekistan,Oman,3,0,CAFA Nations Cup,Tashkent,Uzbekistan,False,home_win,3
2023-06-12,Germany,Ukraine,3,3,Friendly,Bremen,Germany,False,draw,0
2023-06-12,Morocco,Cape Verde,0,0,Friendly,Rabat,Morocco,False,draw,0
2023-06-13,Iran,Afghanistan,6,1,CAFA Nations Cup,Bishkek,Kyrgyzstan,True,home_win,5
2023-06-13,Curaçao,Costa Rica,0,0,Friendly,Fort Lauderdale,United States,True,draw,0
2023-06-14,DR Congo,Uganda,1,0,Friendly,Douala,Cameroon,True,home_win,1
2023-06-14,Uruguay,Nicaragua,4,1,Friendly,Montevideo,Uruguay,False,home_win,3
2023-06-14,Netherlands,Croatia,2,4,UEFA Nations League,Rotterdam,Netherlands,False,away_win,-2
2023-06-14,Uzbekistan,Turkmenistan,2,0,CAFA Nations Cup,Tashkent,Uzbekistan,False,home_win,2
2023-06-14,Guinea,Egypt,1,2,African Cup of Nations qualification,Marrakesh,Morocco,True,away_win,-1
2023-06-15,Panama,Canada,0,2,CONCACAF Nations League,Las Vegas,United States,True,away_win,-2
2023-06-15,United States,Mexico,3,0,CONCACAF Nations League,Las Vegas,United States,False,home_win,3
2023-06-15,Argentina,Australia,2,0,Friendly,Beijing,China,True,home_win,2
