stats_source,stats_complete,parsed_stat_count,match_id,match_url,team_side,team_name,opponent_side,opponent_name,attacking__possession,attacking__possession__in_contest,attacking__goal__total,attacking__goal__conceded,attacking__goal__inside_the_penalty_area,attacking__goal__outside_the_penalty_area,attacking__goal__assists,attacking__attempts_at_goal__total,attacking__attempts_at_goal__on_target,attacking__attempts_at_goal__off_target,attacking__attempts_at_goal__inside_the_penalty_area,attacking__attempts_at_goal__outside_the_penalty_area,attacking__final_third_entries__left_channel,attacking__final_third_entries__left_inside_channel,attacking__final_third_entries__central_channel,attacking__final_third_entries__right_inside_channel,attacking__final_third_entries__right_channel,attacking__offers_to_receive__total,attacking__offers_to_receive__in_behind,attacking__offers_to_receive__in_between,attacking__offers_to_receive__in_front,attacking__offers_to_receive__receptions_between_midfield_and_defensive_lines,attacking__offers_to_receive__receptions_behind_the_defensive_line,attacking__line_breaks__attempted_line_breaks,attacking__line_breaks__completed_line_breaks,attacking__line_breaks__attempted_defensive_line_breaks,attacking__line_breaks__completed_defensive_line_breaks,attacking__discipline__yellow_cards,attacking__discipline__red_cards,attacking__discipline__fouls_against,attacking__discipline__offsides,attacking__distribution__passes,attacking__distribution__passes_completed,attacking__distribution__crosses,attacking__distribution__crosses_completed,attacking__distribution__switches_of_play_completed,attacking__set_plays__corners,attacking__set_plays__free_kicks,attacking__set_plays__penalties_scored,defending__own_goals,defending__forced_turnovers,defending__pressing_applied
FIFA Official Stats,True,41,400021443,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021443,home,Mexico,away,South Africa,57%,8% in contest,2,0,2,0,2,16,4,8,9,7,16,7,7,7,12,424,97,179,148,116,11,170,121,19,10,1,1,12,1,547,495,13,3,8,3,12,0,0,31,170
FIFA Official Stats,True,41,400021443,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021443,away,South Africa,home,Mexico,36%,8% in contest,0,2,0,0,0,3,2,1,1,2,6,4,3,2,11,247,60,85,102,38,5,130,70,12,3,2,2,11,1,351,290,8,0,6,1,13,0,0,32,306
FIFA Official Stats,True,41,400021441,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021441,home,Korea Republic,away,Czechia,55%,11% in contest,2,1,2,0,2,15,6,6,10,5,13,8,8,14,15,386,89,123,174,96,14,161,106,20,10,1,0,9,2,542,483,17,6,5,4,18,0,0,30,147
FIFA Official Stats,True,41,400021441,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021441,away,Czechia,home,Korea Republic,34%,11% in contest,1,2,1,0,1,7,4,2,5,2,7,5,8,7,11,197,82,66,49,86,5,150,61,13,5,0,0,16,2,327,241,15,4,2,5,11,0,0,40,301
FIFA Official Stats,True,41,400021449,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021449,home,Canada,away,Bosnia and Herzegovina,52%,20% in contest,1,1,1,0,1,13,4,6,10,3,22,15,9,5,23,294,128,114,52,119,15,190,110,31,16,2,0,10,1,412,316,30,5,2,9,20,0,0,50,160
FIFA Official Stats,True,41,400021449,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021449,away,Bosnia and Herzegovina,home,Canada,29%,20% in contest,1,1,1,0,1,8,3,4,5,3,8,2,11,4,11,126,33,65,28,75,5,154,70,15,4,3,0,20,0,279,186,8,5,1,4,11,0,0,51,203
FIFA Official Stats,True,41,400021458,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021458,home,USA,away,Paraguay,59%,13% in contest,4,1,3,0,3,16,6,6,13,3,30,9,12,6,27,471,127,203,141,159,21,223,163,38,25,1,0,13,2,602,520,23,5,4,3,18,0,0,50,204
FIFA Official Stats,True,41,400021458,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021458,away,Paraguay,home,USA,28%,13% in contest,1,4,1,0,1,9,1,4,4,5,7,2,4,4,5,204,38,89,77,44,4,130,60,7,3,5,0,17,1,316,234,5,0,5,1,15,0,1,49,360
FIFA Official Stats,True,41,400021447,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021447,home,Qatar,away,Switzerland,28%,15% in contest,1,1,0,0,0,6,3,2,4,2,11,4,2,0,8,216,61,95,60,47,5,150,68,16,2,2,0,12,0,289,213,8,1,4,3,12,0,0,36,294
FIFA Official Stats,True,41,400021447,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021447,away,Switzerland,home,Qatar,58%,15% in contest,1,1,1,0,0,26,7,10,18,8,30,13,17,6,28,325,118,117,90,143,20,189,144,30,17,1,0,11,1,591,542,34,7,5,10,11,1,1,42,165
