date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,result,goal_diff_home,fotmob_match_id,fotmob_date_query,fotmob_league_id,fotmob_league,fotmob_home_team,fotmob_home_long,fotmob_home_score,fotmob_away_team,fotmob_away_long,fotmob_away_score,fotmob_status,fotmob_utc_time,match_score,match_reversed,fotmob_match_status
2023-01-06,Iraq,Oman,0,0,Gulf Cup,Basra,Iraq,False,draw,0,4057048.0,20230107,881852.0,Gulf Cup Grp. A,Iraq,Iraq,0.0,Oman,Oman,0.0,FT,2023-01-06T16:00:00.000Z,1.08,False,matched
2023-01-06,Yemen,Saudi Arabia,0,2,Gulf Cup,Basra,Iraq,True,away_win,-2,4057059.0,20230107,881852.0,Gulf Cup Grp. A,Yemen,Yemen,0.0,Saudi Arabia,Saudi Arabia,2.0,FT,2023-01-06T18:45:00.000Z,1.08,False,matched
2023-01-07,Kuwait,Qatar,0,2,Gulf Cup,Basra,Iraq,True,away_win,-2,4057057.0,20230108,881853.0,Gulf Cup Grp. B,Kuwait,Kuwait,0.0,Qatar,Qatar,2.0,FT,2023-01-07T16:15:00.000Z,1.08,False,matched
2023-01-09,Sweden,Finland,2,0,Friendly,Faro-Loulé,Portugal,True,home_win,2,4071359.0,20230110,882729.0,Friendlies,Sweden,Sweden,2.0,Finland,Finland,0.0,FT,2023-01-09T18:45:00.000Z,1.08,False,matched
2023-01-09,Iraq,Saudi Arabia,2,0,Gulf Cup,Basra,Iraq,False,home_win,2,4057055.0,20230110,881852.0,Gulf Cup Grp. A,Saudi Arabia,Saudi Arabia,0.0,Iraq,Iraq,2.0,FT,2023-01-09T16:15:00.000Z,1.08,True,matched
2023-01-10,Qatar,Bahrain,1,2,Gulf Cup,Basra,Iraq,True,away_win,-1,4057054.0,20230111,881853.0,Gulf Cup Grp. B,Qatar,Qatar,1.0,Bahrain,Bahrain,2.0,FT,2023-01-10T16:15:00.000Z,1.08,False,matched
2023-01-12,Sweden,Iceland,2,1,Friendly,Faro-Loulé,Portugal,True,home_win,1,4071361.0,20230113,882729.0,Friendlies,Sweden,Sweden,2.0,Iceland,Iceland,1.0,FT,2023-01-12T18:00:00.000Z,1.08,False,matched
2023-01-12,Iraq,Yemen,5,0,Gulf Cup,Basra,Iraq,False,home_win,5,4057052.0,20230113,881852.0,Gulf Cup Grp. A,Iraq,Iraq,5.0,Yemen,Yemen,0.0,FT,2023-01-12T15:00:00.000Z,1.08,False,matched
2023-01-12,Saudi Arabia,Oman,1,2,Gulf Cup,Basra,Iraq,True,away_win,-1,4057051.0,20230113,881852.0,Gulf Cup Grp. A,Saudi Arabia,Saudi Arabia,1.0,Oman,Oman,2.0,FT,2023-01-12T15:00:00.000Z,1.08,False,matched
2023-01-13,Qatar,United Arab Emirates,1,1,Gulf Cup,Basra,Iraq,True,draw,0,,,,,,,,,,,,,,,not_matched
2023-01-16,Iraq,Qatar,2,1,Gulf Cup,Basra,Iraq,False,home_win,1,4095839.0,20230116,883540.0,Gulf Cup Final Stage,Iraq,Iraq,2.0,Qatar,Qatar,1.0,FT,2023-01-16T13:15:00.000Z,1.08,False,matched
2023-01-19,Iraq,Oman,3,2,Gulf Cup,Basra,Iraq,False,home_win,1,4095841.0,20230120,883540.0,Gulf Cup Final Stage,Iraq,Iraq,3.0,Oman,Oman,2.0,AET,2023-01-19T16:00:00.000Z,1.08,False,matched
2023-01-25,United States,Serbia,1,2,Friendly,Los Angeles,United States,False,away_win,-1,4086209.0,20230126,882729.0,Friendlies,USA,USA,1.0,Serbia,Serbia,2.0,FT,2023-01-26T03:05:00.000Z,1.08,False,matched
2023-01-28,United States,Colombia,0,0,Friendly,Carson,United States,False,draw,0,4086210.0,20230129,882729.0,Friendlies,USA,USA,0.0,Colombia,Colombia,0.0,FT,2023-01-29T00:40:00.000Z,1.08,False,matched
2023-03-12,Guatemala,Panama,1,1,Friendly,San Jose,United States,True,draw,0,4118863.0,20230313,882729.0,Friendlies,Guatemala,Guatemala,1.0,Panama,Panama,1.0,FT,2023-03-13T00:00:00.000Z,1.08,False,matched
2023-03-23,Argentina,Panama,2,0,Friendly,Buenos Aires,Argentina,False,home_win,2,4132094.0,20230324,882729.0,Friendlies,Argentina,Argentina,2.0,Panama,Panama,0.0,FT,2023-03-23T23:35:00.000Z,1.08,False,matched
2023-03-23,Iran,Russia,1,1,Friendly,Tehran,Iran,False,draw,0,4130081.0,20230324,882729.0,Friendlies,Iran,Iran,1.0,Russia,Russia,1.0,FT,2023-03-23T17:00:00.000Z,1.08,False,matched
2023-03-23,New Zealand,China,0,0,Friendly,Auckland,New Zealand,False,draw,0,4115349.0,20230323,882729.0,Friendlies,New Zealand,New Zealand,0.0,China,China,0.0,FT,2023-03-23T06:00:00.000Z,1.08,False,matched
