group,team,played,wins,draws,losses,goals_for,goals_against,goal_diff,points,group_rank
A,South Korea,3,3,0,0,6,3,3,9,1
A,Mexico,3,1,1,1,4,4,0,4,2
A,Czech Republic,3,0,2,1,4,5,-1,2,3
A,South Africa,3,0,1,2,4,6,-2,1,4
B,Switzerland,3,2,1,0,5,3,2,7,1
B,Canada,3,0,3,0,5,5,0,3,2
B,Bosnia and Herzegovina,3,0,2,1,4,5,-1,2,3
B,Qatar,3,0,2,1,4,5,-1,2,4
C,Morocco,3,3,0,0,6,3,3,9,1
C,Brazil,3,2,0,1,5,4,1,6,2
C,Scotland,3,1,0,2,4,5,-1,3,3
C,Haiti,3,0,0,3,3,6,-3,0,4
D,United States,3,3,0,0,6,3,3,9,1
D,Turkey,3,2,0,1,5,4,1,6,2
D,Paraguay,3,1,0,2,4,5,-1,3,3
D,Australia,3,0,0,3,3,6,-3,0,4
E,Germany,3,2,1,0,8,5,3,7,1
E,Ecuador,3,2,1,0,6,4,2,7,2
E,Ivory Coast,3,0,1,2,5,7,-2,1,3
E,Curaçao,3,0,1,2,4,7,-3,1,4
F,Netherlands,3,3,0,0,6,3,3,9,1
F,Japan,3,2,0,1,5,3,2,6,2
F,Sweden,3,1,0,2,4,5,-1,3,3
F,Tunisia,3,0,0,3,2,6,-4,0,4
G,Belgium,3,3,0,0,7,1,6,9,1
G,Egypt,3,2,0,1,4,4,0,6,2
G,Iran,3,1,0,2,4,5,-1,3,3
G,New Zealand,3,0,0,3,2,7,-5,0,4
H,Spain,3,2,1,0,6,4,2,7,1
H,Uruguay,3,2,1,0,6,4,2,7,2
H,Cape Verde,3,1,0,2,4,5,-1,3,3
H,Saudi Arabia,3,0,0,3,3,6,-3,0,4
I,Senegal,3,3,0,0,8,4,4,9,1
I,France,3,2,0,1,7,5,2,6,2
I,Norway,3,1,0,2,6,7,-1,3,3
I,Iraq,3,0,0,3,1,6,-5,0,4
J,Argentina,3,3,0,0,6,3,3,9,1
J,Austria,3,2,0,1,6,4,2,6,2
J,Algeria,3,1,0,2,4,5,-1,3,3
J,Jordan,3,0,0,3,3,7,-4,0,4
K,Portugal,3,3,0,0,6,3,3,9,1
K,Colombia,3,2,0,1,5,4,1,6,2
K,DR Congo,3,1,0,2,4,5,-1,3,3
K,Uzbekistan,3,0,0,3,3,6,-3,0,4
L,England,3,3,0,0,6,2,4,9,1
L,Croatia,3,2,0,1,5,4,1,6,2
L,Panama,3,1,0,2,4,5,-1,3,3
L,Ghana,3,0,0,3,2,6,-4,0,4
