round,match_no,home_team,away_team,predicted_90min_result,prob_home_win,prob_draw_90min,prob_away_win,pred_home_goals,pred_away_goals,pred_home_score,pred_away_score,winner
R32,1,Belgium,Iran,home_win,0.9995636904101587,0.00040878854644906215,2.752104339217064e-05,1.9466796909087933,0.5495849911182727,2,1,Belgium
R32,2,France,Sweden,home_win,0.9996069658663167,0.0003273387523206619,6.569538136272848e-05,2.3086085797157767,0.6847125524687441,2,1,France
R32,3,England,Paraguay,draw,0.47432353362896795,0.5037908710228696,0.021885595348162496,1.6692854902951646,0.9754294177185039,2,1,England
R32,4,United States,Ivory Coast,home_win,0.7215736284737958,0.13982737372074977,0.13859899780545443,1.0840925199671334,1.5516445231325255,1,2,Ivory Coast
R32,5,Netherlands,Norway,home_win,0.999620666503478,0.00018257510902373696,0.00019675838749821703,1.7422270965332098,1.514675316771291,3,2,Netherlands
R32,6,Spain,Czech Republic,home_win,0.8167662465321212,0.09818283054255357,0.0850509229253253,1.7310946815768788,1.286170641722112,2,1,Spain
R32,7,Argentina,Uruguay,home_win,0.9496244518837623,0.05036922661296268,6.321503274997725e-06,2.2079028352108834,0.4095936448598988,2,0,Argentina
R32,8,Portugal,Scotland,home_win,0.8533241108723225,0.005800550018437014,0.14087533910924038,1.8880851653076889,0.9112014622088153,2,1,Portugal
R32,9,Germany,Cape Verde,home_win,0.9990272013203472,0.0009719198626375103,8.788170152195937e-07,2.402734714846557,0.635907315909638,2,1,Germany
R32,10,Brazil,Mexico,home_win,0.885547417758363,0.053069612092571175,0.061382970149065845,1.4840702873121605,1.0549915571013104,2,1,Brazil
R32,11,South Korea,Canada,away_win,0.1697248261643149,0.023711211150504476,0.8065639626851805,1.2853906244634306,1.1462710871401276,1,2,Canada
R32,12,Switzerland,Morocco,home_win,0.8257298171247272,0.11431873585303302,0.05995144702223991,1.526943115435762,1.6889055994888045,3,2,Switzerland
R32,13,Ecuador,Egypt,home_win,0.999994126985546,2.5952423585600864e-06,3.277772095351261e-06,1.8933302316162217,0.6110244275704803,2,1,Ecuador
R32,14,Senegal,Croatia,home_win,0.9970486220221495,0.0003700017287172411,0.002581376249133172,1.8526428833034878,1.2465331155056387,2,1,Senegal
R32,15,Austria,Colombia,away_win,0.025312422288801602,0.3205424390490953,0.6541451386621031,1.237042366345385,1.232993522344529,1,2,Colombia
R32,16,Japan,Turkey,away_win,0.00609661616180944,0.20815555161980095,0.7857478322183895,1.4098379895961164,1.4354454151799356,1,2,Turkey
R16,1,Belgium,France,away_win,0.010872134632908474,0.007195681969586657,0.981932183397505,1.0789353911339203,2.221575869664105,1,2,France
R16,2,England,Ivory Coast,draw,0.14130167910464211,0.8318381533045288,0.026860167590829036,1.759340831940677,1.4669489010015324,2,1,England
R16,3,Netherlands,Spain,away_win,0.0021899619775081463,0.001784749370423114,0.9960252886520687,1.2474126731971162,2.2466714896443998,1,2,Spain
R16,4,Argentina,Portugal,home_win,0.5432264557329639,0.0014686437705473429,0.45530490049648886,1.5913745333327374,2.122830178808118,3,2,Argentina
R16,5,Germany,Brazil,home_win,0.7197223723439161,0.2793012150296135,0.0009764126264703818,1.7004488514724583,1.9894471323883074,3,2,Germany
R16,6,Canada,Switzerland,draw,0.0004212947238937697,0.8961949219359617,0.1033837833401444,1.1397549365266095,0.7540796830734909,1,2,Switzerland
R16,7,Ecuador,Senegal,away_win,0.10427121081835314,0.0001284014570472891,0.8956003877245996,1.610357779174729,1.7948481944182413,2,3,Senegal
R16,8,Colombia,Turkey,home_win,0.9047417890757103,0.03526763044668819,0.05999058047760145,1.9052729084354476,1.4396995171581084,2,1,Colombia
QF,1,France,England,away_win,0.05067760071645508,0.007211920499087768,0.9421104787844573,1.207663949884538,2.089784504983034,1,2,England
QF,2,Spain,Argentina,away_win,0.03182762879287308,0.0003890647846465592,0.9677833064224802,1.5148351722953104,1.9332759281625367,2,3,Argentina
QF,3,Germany,Switzerland,home_win,0.9936183263695451,0.006364594468965076,1.7079161490008266e-05,2.5860481166437044,0.5930219475513591,3,1,Germany
QF,4,Senegal,Colombia,away_win,0.4562789846132271,0.002177559923457912,0.541543455463315,1.4896987251940812,1.441312071843418,1,2,Colombia
SF,1,England,Argentina,away_win,0.12233528345977597,0.055979248362421116,0.8216854681778029,1.4500723098853898,1.7557859671002085,1,2,Argentina
SF,2,Germany,Colombia,home_win,0.7376218799962563,0.24527729636770765,0.01710082363603607,1.7509119380218454,1.2698516948737537,2,1,Germany
Final,1,Argentina,Germany,away_win,0.005706594235354585,0.0038106508280060527,0.9904827549366394,1.598861445686522,2.3661389946196443,2,3,Germany
