season,week,game_id,home_gameday,home_home_team,home_away_team,home_home_score,home_away_score,home_home_win,home_total_points,home_team,home_opp_team,home_is_home,home_rest_days,home_points_for,home_points_against,home_team_win,home_off_plays,home_off_epa_sum,home_off_epa_mean,home_def_plays,home_def_epa_sum,home_def_epa_mean,home_rolling_off_epa_3,home_rolling_def_epa_3,home_net_epa_mean,home_rolling_net_epa_3,away_gameday,away_home_team,away_away_team,away_home_score,away_away_score,away_home_win,away_total_points,away_team,away_opp_team,away_is_home,away_rest_days,away_points_for,away_points_against,away_team_win,away_off_plays,away_off_epa_sum,away_off_epa_mean,away_def_plays,away_def_epa_sum,away_def_epa_mean,away_rolling_off_epa_3,away_rolling_def_epa_3,away_net_epa_mean,away_rolling_net_epa_3,home_win,diff_rolling_off_epa_3,diff_rolling_def_epa_3,diff_rolling_net_epa_3,diff_rest_days,home_prev_cluster_name,away_prev_cluster_name,home_prev_off_epa_mean,home_prev_def_epa_mean,home_prev_win_pct,away_prev_off_epa_mean,away_prev_def_epa_mean,away_prev_win_pct,diff_prev_off_epa_mean,diff_prev_def_epa_mean,diff_prev_win_pct,segment_home_seg,home_dyn_cluster_name,segment_away_seg,away_dyn_cluster_name
2019,1,2019_01_DET_ARI,2019-09-08,ARI,DET,27.0,27.0,0,54.0,ARI,DET,1,,27.0,27.0,0,109.0,-2.4622717,-0.022589648,110.0,-0.15662038,-0.0014238217,,,-0.021165827,,2019-09-08,ARI,DET,27.0,27.0,0,54.0,DET,ARI,0,,27.0,27.0,0,110.0,0.15662038,0.0014238217,109.0,2.4622717,0.022589648,,,-0.021165827,,0,,,,,,,,,,,,,,,,G1-4,Balanced,G1-4,Balanced
2019,3,2019_03_CAR_ARI,2019-09-22,ARI,CAR,20.0,38.0,0,58.0,ARI,CAR,1,7.0,20.0,38.0,0,91.0,-7.4767714,-0.08216232,79.0,-14.818792,-0.18757965,-0.001782185398042202,-0.02930127311265096,0.105417326,0.027519087307155132,2019-09-22,ARI,CAR,20.0,38.0,0,58.0,CAR,ARI,0,10.0,38.0,20.0,1,79.0,14.818792,0.18757965,91.0,7.4767714,0.08216232,-0.12785599753260612,0.04334521945565939,0.105417326,-0.1712012141942978,0,0.12607381213456392,-0.07264649256831035,0.19872030150145292,-3.0,,,,,,,,,,,,G1-4,Balanced,G1-4,Struggling
2019,4,2019_04_SEA_ARI,2019-09-29,ARI,SEA,10.0,27.0,0,37.0,ARI,SEA,1,7.0,10.0,27.0,0,77.0,-14.992719,-0.19471063,77.0,-6.5214486,-0.08469414,-0.028575563803315163,-0.08206073097729434,-0.11001649,0.05348516690234343,2019-09-29,ARI,SEA,10.0,27.0,0,37.0,SEA,ARI,0,7.0,27.0,10.0,1,77.0,6.5214486,0.08469414,77.0,14.992719,0.19471063,-0.018458849440018337,-0.01008047784368197,-0.11001649,-0.00837837221721808,0,-0.010116714363296826,-0.07198025313361237,0.06186353911956151,0.0,,,,,,,,,,,,G1-4,Struggling,G1-4,Balanced
2019,6,2019_06_ATL_ARI,2019-10-13,ARI,ATL,34.0,33.0,1,67.0,ARI,ATL,1,7.0,34.0,33.0,1,88.0,18.286217,0.20779791,85.0,-20.16252,-0.23720612,-0.05127439151207606,-0.12221525857845943,0.44500405,0.07094086954991023,2019-10-13,ARI,ATL,34.0,33.0,1,67.0,ATL,ARI,0,7.0,33.0,34.0,0,85.0,20.16252,0.23720612,88.0,-18.286217,-0.20779791,0.06224629282951355,-0.2239505797624588,0.44500405,0.28619687259197235,1,-0.1135206843415896,0.10173532118399937,-0.2152560030420621,0.0,,,,,,,,,,,,G5-8,Balanced,G5-8,Balanced
2019,9,2019_09_SF_ARI,2019-10-31,ARI,SF,25.0,28.0,0,53.0,ARI,SF,1,4.0,25.0,28.0,0,71.0,8.3474655,0.11756994,88.0,-12.035615,-0.13676836,-0.04465444882710775,-0.03722166766722997,0.2543383,-0.007432778676350911,2019-10-31,ARI,SF,25.0,28.0,0,53.0,SF,ARI,0,4.0,28.0,25.0,1,88.0,12.035615,0.13676836,71.0,-8.3474655,-0.11756994,-0.02842644105354945,0.39434486627578735,0.2543383,-0.42277129491170246,0,-0.0162280077735583,-0.4315665339430173,0.41533851623535156,0.0,,,,,,,,,,,,G9-12,Balanced,G5-8,Offense-heavy
2019,13,2019_13_LA_ARI,2019-12-01,ARI,LA,7.0,34.0,0,41.0,ARI,LA,1,14.0,7.0,34.0,0,78.0,-25.508574,-0.32703298,95.0,-7.8580956,-0.08271679,0.05931567307561636,-0.09183386464913686,-0.24431619,0.1511495386560758,2019-12-01,ARI,LA,7.0,34.0,0,41.0,LA,ARI,0,6.0,34.0,7.0,1,95.0,7.8580956,0.08271679,78.0,25.508574,0.32703298,-0.2158976544936498,0.047751774390538536,-0.24431619,-0.2636494388182958,0,0.2752133275692662,-0.13958563903967539,0.41479897747437156,8.0,,,,,,,,,,,,G9-12,Struggling,G9-12,Struggling
2019,14,2019_14_PIT_ARI,2019-12-08,ARI,PIT,17.0,23.0,0,40.0,ARI,PIT,1,7.0,17.0,23.0,0,74.0,-13.716519,-0.18535838,72.0,4.580007,0.06361121,-0.0888853007927537,-0.07381667693456014,-0.24896958,-0.015068622926870981,2019-12-08,ARI,PIT,17.0,23.0,0,40.0,PIT,ARI,0,7.0,23.0,17.0,1,72.0,-4.580007,-0.06361121,74.0,13.716519,0.18535838,-0.15335262970378002,0.16856222599744797,-0.24896958,-0.3219148516654968,0,0.06446732891102633,-0.2423789029320081,0.3068462287386258,0.0,,,,,,,,,,,,G13+,Struggling,G13+,Offense-heavy
2019,15,2019_15_CLE_ARI,2019-12-15,ARI,CLE,38.0,24.0,1,62.0,ARI,CLE,1,7.0,38.0,24.0,1,76.0,15.102726,0.19872008,87.0,-0.94889116,-0.010906795,-0.17357643290112415,-0.030468444029490154,0.20962688,-0.14310798794031143,2019-12-15,ARI,CLE,38.0,24.0,1,62.0,CLE,ARI,0,7.0,24.0,38.0,0,87.0,0.94889116,0.010906795,76.0,-15.102726,-0.19872008,0.0674437756339709,0.01080275047570467,0.20962688,0.05664102484782537,1,-0.24102020853509504,-0.04127119450519483,-0.1997490127881368,0.0,,,,,,,,,,,,G13+,Struggling,G13+,Offense-heavy
2020,2,2020_02_WAS_ARI,2020-09-20,ARI,WAS,30.0,15.0,1,45.0,ARI,WAS,1,7.0,30.0,15.0,1,96.0,9.897461,0.10309855,82.0,6.2665234,0.076421015,0.00020989356562495232,0.06737819314002991,0.026677534,-0.06716830097138882,2020-09-20,ARI,WAS,30.0,15.0,1,45.0,WAS,ARI,0,7.0,15.0,30.0,0,82.0,-6.2665234,-0.076421015,96.0,-9.897461,-0.10309855,-0.07183736562728882,-0.06040225923061371,0.026677534,-0.011435111363728842,1,0.07204725919291377,0.12778045237064362,-0.05573318960765997,0.0,Struggling,Struggling,-0.027989604,-0.042798936,0.3125,-0.117545694,-0.04674099,0.1875,0.08955609,0.0039420538,0.125,G1-4,Balanced,G1-4,Offense-heavy
2020,3,2020_03_DET_ARI,2020-09-27,ARI,DET,23.0,26.0,0,49.0,ARI,DET,1,7.0,23.0,26.0,0,78.0,-0.25837305,-0.003312475,87.0,-4.8228617,-0.05543519,0.041073916014283895,0.018064660330613453,0.052122716,0.023009254907568295,2020-09-27,ARI,DET,23.0,26.0,0,49.0,DET,ARI,0,7.0,26.0,23.0,1,87.0,4.8228617,0.05543519,78.0,0.25837305,0.003312475,-0.04243115816886226,-0.0972436002145211,0.052122716,0.05481243754426638,0,0.08350507418314615,0.11530826054513454,-0.03180318263669808,0.0,Struggling,Struggling,-0.027989604,-0.042798936,0.3125,-0.04057342,-0.020652417,0.1875,0.012583815,-0.02214652,0.125,G1-4,Offense-heavy,G1-4,Struggling
