season,week,game_id,team,team_game_number,segment,rolling_off_epa_4,rolling_def_epa_4,rolling_net_epa_4,dyn_cluster,dyn_cluster_name
2019,1,2019_01_DET_ARI,ARI,1,G1-4,,,,0,Balanced
2019,2,2019_02_ARI_BAL,ARI,2,G1-4,-0.09163710474967957,0.03797091916203499,-0.12960802018642426,1,Struggling
2019,3,2019_03_CAR_ARI,ARI,3,G1-4,0.00942961871623993,0.10321816243231297,-0.09378854185342789,0,Balanced
2019,4,2019_04_SEA_ARI,ARI,4,G1-4,-0.023091398179531097,0.16045269990960756,-0.18354409436384836,1,Struggling
2019,5,2019_05_ARI_CIN,ARI,5,G5-8,-0.04541432857513428,0.15944375563412905,-0.20485808327794075,1,Struggling
2019,6,2019_06_ATL_ARI,ARI,6,G5-8,0.048152096569538116,0.1744611244648695,-0.12630902975797653,0,Balanced
2019,7,2019_07_ARI_NYG,ARI,7,G5-8,0.08621404320001602,0.2120682578533888,-0.1258542165160179,0,Balanced
2019,8,2019_08_ARI_NO,ARI,8,G5-8,0.12878670915961266,0.09481114707887173,0.03397555649280548,0,Balanced
2019,9,2019_09_SF_ARI,ARI,9,G9-12,0.0750096756964922,0.11261422000825405,-0.037604548037052155,0,Balanced
2019,10,2019_10_ARI_TB,ARI,10,G9-12,0.05690575949847698,0.14343247562646866,-0.08652671799063683,0,Balanced
2019,11,2019_11_ARI_SF,ARI,11,G9-12,0.004688205197453499,0.06695687654428184,-0.062268673442304134,0,Balanced
2019,13,2019_13_LA_ARI,ARI,12,G9-12,-0.03756514564156532,0.12984908348880708,-0.16741422843188047,1,Struggling
2019,14,2019_14_PIT_ARI,ARI,13,G13+,-0.0766417346894741,0.12811111262999475,-0.20475284289568663,1,Struggling
2019,15,2019_15_CLE_ARI,ARI,14,G13+,-0.16829799860715866,0.05629765405319631,-0.22459564823657274,1,Struggling
2019,16,2019_16_ARI_SEA,ARI,15,G13+,-0.11030418798327446,0.07907197531312704,-0.18937615863978863,1,Struggling
2019,17,2019_17_ARI_LA,ARI,16,G13+,-0.05051182582974434,0.002957792952656746,-0.053469615057110786,0,Balanced
2019,1,2019_01_ATL_MIN,ATL,1,G1-4,,,,0,Balanced
2019,2,2019_02_PHI_ATL,ATL,2,G1-4,-0.22716975212097168,0.20226426422595978,-0.42943400144577026,1,Struggling
2019,3,2019_03_ATL_IND,ATL,3,G1-4,-0.12068331660702825,0.05039817467331886,-0.17108148336410522,1,Struggling
2019,4,2019_04_TEN_ATL,ATL,4,G1-4,0.05515492676446835,0.11999114602804184,-0.0648362139860789,0,Balanced
2019,5,2019_05_ATL_HOU,ATL,5,G5-8,0.00825431733392179,0.10437022987753153,-0.09611590951681137,0,Balanced
2019,6,2019_06_ATL_ARI,ATL,6,G5-8,0.08605354628525674,0.1790557699277997,-0.09300222247838974,0,Balanced
2019,7,2019_07_LA_ATL,ATL,7,G5-8,0.16932625137269497,0.270108780823648,-0.10078252851963043,0,Balanced
2019,8,2019_08_SEA_ATL,ATL,8,G5-8,0.0027865227311849594,0.24026089441031218,-0.23747437447309494,1,Struggling
2019,10,2019_10_ATL_NO,ATL,9,G9-12,0.06351361609995365,0.27688638120889664,-0.21337276697158813,0,Balanced
2019,11,2019_11_ATL_CAR,ATL,10,G9-12,0.04348375974223018,0.08609463274478912,-0.04261087626218796,0,Balanced
2019,12,2019_12_TB_ATL,ATL,11,G9-12,0.004949390422552824,-0.05262833088636398,0.0575777143239975,0,Balanced
2019,13,2019_13_NO_ATL,ATL,12,G9-12,0.031183916609734297,-0.03877943009138107,0.06996334344148636,0,Balanced
2019,14,2019_14_CAR_ATL,ATL,13,G13+,-0.06124974088743329,-0.09181606234051287,0.030566319823265076,2,Offense-heavy
2019,15,2019_15_ATL_SF,ATL,14,G13+,-0.02194877341389656,-0.038054024102166295,0.016105249524116516,0,Balanced
2019,16,2019_16_JAX_ATL,ATL,15,G13+,-0.044196659699082375,0.02056109136901796,-0.06475774943828583,0,Balanced
2019,17,2019_17_ATL_TB,ATL,16,G13+,0.04046325571835041,-0.03756834310479462,0.07803159952163696,0,Balanced
2019,1,2019_01_BAL_MIA,BAL,1,G1-4,,,,0,Balanced
2019,2,2019_02_ARI_BAL,BAL,2,G1-4,0.6602583527565002,-0.24775123596191406,0.9080095887184143,2,Offense-heavy
2019,3,2019_03_BAL_KC,BAL,3,G1-4,0.4143618792295456,-0.06862744688987732,0.4829893261194229,2,Offense-heavy
2019,4,2019_04_CLE_BAL,BAL,4,G1-4,0.34496594468752545,0.0500330924987793,0.29493285218874615,0,Balanced
2019,5,2019_05_BAL_PIT,BAL,5,G5-8,0.26106865401379764,0.13449835032224655,0.12657030671834946,0,Balanced
2019,6,2019_06_CIN_BAL,BAL,6,G5-8,0.07420393894426525,0.1652515046298504,-0.09104756265878677,0,Balanced
2019,7,2019_07_BAL_SEA,BAL,7,G5-8,0.07267995621077716,0.11145780421793461,-0.03877784311771393,0,Balanced
2019,9,2019_09_NE_BAL,BAL,8,G5-8,0.062443365110084414,-0.01310322992503643,0.07554659992456436,0,Balanced
2019,10,2019_10_BAL_CIN,BAL,9,G9-12,0.10741503536701202,-0.1371732745319605,0.24458830803632736,2,Offense-heavy
2019,11,2019_11_HOU_BAL,BAL,10,G9-12,0.2640768103301525,-0.19550605677068233,0.4595828726887703,2,Offense-heavy
2019,12,2019_12_BAL_LA,BAL,11,G9-12,0.3269149959087372,-0.2713354267179966,0.5982504263520241,2,Offense-heavy
2019,13,2019_13_SF_BAL,BAL,12,G9-12,0.40971897542476654,-0.27313661575317383,0.6828555911779404,2,Offense-heavy
2019,14,2019_14_BAL_BUF,BAL,13,G13+,0.36080316838342696,-0.2222410812973976,0.5830442532896996,2,Offense-heavy
2019,15,2019_15_NYJ_BAL,BAL,14,G13+,0.22394489322323352,-0.21212658286094666,0.4360714703798294,2,Offense-heavy
2019,16,2019_16_BAL_CLE,BAL,15,G13+,0.2240008843364194,-0.14864643290638924,0.37264731526374817,2,Offense-heavy
2019,17,2019_17_PIT_BAL,BAL,16,G13+,0.16884410951752216,-0.12815271317958832,0.2969968244433403,2,Offense-heavy
2019,19,2019_19_TEN_BAL,BAL,17,G13+,0.14336268417537212,-0.25749270245432854,0.4008553922176361,2,Offense-heavy
2019,1,2019_01_BUF_NYJ,BUF,1,G1-4,,,,0,Balanced
2019,2,2019_02_BUF_NYG,BUF,2,G1-4,-0.12582145631313324,-0.09981845319271088,-0.026003003120422363,1,Struggling
2019,3,2019_03_CIN_BUF,BUF,3,G1-4,0.020845241844654083,-0.0828687809407711,0.10371401906013489,2,Offense-heavy
2019,4,2019_04_NE_BUF,BUF,4,G1-4,0.0069725339611371355,-0.11997320999701817,0.1269457439581553,2,Offense-heavy
2019,5,2019_05_BUF_TEN,BUF,5,G5-8,-0.06142365001142025,-0.15917533449828625,0.097751684486866,2,Offense-heavy
2019,7,2019_07_MIA_BUF,BUF,6,G5-8,-0.05255825072526932,-0.15465372614562511,0.1020954754203558,2,Offense-heavy
2019,8,2019_08_PHI_BUF,BUF,7,G5-8,-0.042489491403102875,-0.12689213640987873,0.08440264873206615,2,Offense-heavy
2019,9,2019_09_WAS_BUF,BUF,8,G5-8,-0.08089136146008968,-0.04010538570582867,-0.040785977616906166,1,Struggling
2019,10,2019_10_BUF_CLE,BUF,9,G9-12,0.007868235930800438,0.0006303247064352036,0.007237909361720085,0,Balanced
2019,11,2019_11_BUF_MIA,BUF,10,G9-12,0.03837425634264946,0.03262822609394789,0.005746028386056423,0,Balanced
2019,12,2019_12_DEN_BUF,BUF,11,G9-12,0.05515032634139061,-0.03191170748323202,0.08706203009933233,0,Balanced
2019,13,2019_13_BUF_DAL,BUF,12,G9-12,0.12061652168631554,-0.15371462982147932,0.27433115150779486,2,Offense-heavy
2019,14,2019_14_BAL_BUF,BUF,13,G13+,0.140830896794796,-0.13532626535743475,0.27615716215223074,2,Offense-heavy
2019,15,2019_15_BUF_PIT,BUF,14,G13+,0.05351190268993378,-0.14888778887689114,0.20239969342947006,2,Offense-heavy
2019,16,2019_16_BUF_NE,BUF,15,G13+,-0.05368121340870857,-0.19586928747594357,0.14218807592988014,2,Offense-heavy
2019,17,2019_17_NYJ_BUF,BUF,16,G13+,-0.0719003404956311,-0.08713537082076073,0.015235032886266708,0,Balanced
2019,18,2019_18_BUF_HOU,BUF,17,G13+,-0.17779276776127517,-0.10428791865706444,-0.07350484654307365,1,Struggling
2019,1,2019_01_LA_CAR,CAR,1,G1-4,,,,0,Balanced
2019,2,2019_02_TB_CAR,CAR,2,G1-4,-0.1320319026708603,0.025816412642598152,-0.1578483134508133,1,Struggling
2019,3,2019_03_CAR_ARI,CAR,3,G1-4,-0.18369662016630173,0.03387571778148413,-0.21757233887910843,1,Struggling
2019,4,2019_04_CAR_HOU,CAR,4,G1-4,-0.030823821822802227,-0.0067939988027016325,-0.024029826124509174,0,Balanced
2019,5,2019_05_JAX_CAR,CAR,5,G5-8,-0.07494694367051125,-0.0791665711440146,0.004219625145196915,0,Balanced
2019,6,2019_06_CAR_TB,CAR,6,G5-8,0.004233889281749725,-0.09426598902791739,0.09849987551569939,2,Offense-heavy
2019,8,2019_08_CAR_SF,CAR,7,G5-8,0.059007000643759966,-0.1493957731872797,0.20840277150273323,2,Offense-heavy
2019,9,2019_09_TEN_CAR,CAR,8,G5-8,-0.13323222426697612,-0.08110744878649712,-0.05212477222084999,1,Struggling
2019,10,2019_10_CAR_GB,CAR,9,G9-12,-0.059625066351145506,0.006912143900990486,-0.06653720699250698,1,Struggling
2019,11,2019_11_ATL_CAR,CAR,10,G9-12,-0.11063493229448795,0.06193363852798939,-0.1725685689598322,1,Struggling
